model,rmse,mae,r2
Ridge Regression,1069.3784662517317,792.0343160632646,0.579255740109603
Linear Regression,1069.379482228987,792.0365399914771,0.5792549406418469
Tuned Ridge Regression,1069.5801125743276,791.7874908580559,0.5790970506755643
Random Forest,1083.4318773644152,759.0269502363635,0.568124517886786
Decision Tree,1499.4891485772525,1026.9264055131964,0.1727400774873934
